FECHA,TMAX,TMIN,NOMBRE
2031-12-29,9.6,1.7,DOLORES AERO
2031-12-29,10.7,-3.3,EL BOLSON AERO
2031-12-29,5.4,-2.1,EL CALAFATE AERO
2031-12-29,16.4,-2.5,EL PALOMAR AERO
2031-12-29,,-1.2,ESCUELA DE AVIACION MILITAR AERO
2031-12-29,13,-3.1,ESQUEL AERO
2031-12-29,14.7,-0.2,EZEIZA AERO
2031-12-29,15.8,4.3,FORMOSA AERO
2031-12-29,20,3.2,GENERAL PICO AERO
2031-12-29,10,0,GOBERNADOR GREGORES AERO
2031-12-29,16.7,-0.4,GUALEGUAYCHU AERO
2031-12-29,14,4.2,IGUAZU AERO
2031-12-29,16.5,5.5,ITUZAINGO
2031-12-29,20.5,-1.7,JACHAL
2031-12-29,18.1,2.9,JUJUY AERO
2031-12-29,16.8,0.9,JUJUY U N
2031-12-29,16.9,-2,JUNIN AERO
2031-12-29,14.1,0.3,LA PLATA AERO
2031-12-29,16.1,-7.5,LA QUIACA OBSERVATORIO
2031-12-29,23.1,2.3,LA RIOJA AERO
2031-12-29,19.2,-1.6,LABOULAYE AERO
2031-12-29,12.5,1.5,LAS FLORES
2031-12-29,20.4,2.2,LAS LOMITAS
2031-12-29,12.2,-2.3,MALARGUE AERO
2031-12-29,14.3,-6.8,MAQUINCHAO
2031-12-29,10.5,5.1,MAR DEL PLATA AERO
2031-12-29,17.5,-1.5,MARCOS JUAREZ AERO
2031-12-29,,1,MARIANO MORENO AERO
2031-12-29,18.8,2.8,MENDOZA AERO
2031-12-29,,3.5,MENDOZA OBSERVATORIO
2031-12-29,16.6,0.8,MERCEDES AERO (CTES)
2031-12-29,,0.7,MERLO AERO
2031-12-29,18.2,3.9,METAN
2031-12-29,15.5,2,MONTE CASEROS AERO
2031-12-29,15.4,2,MORON AERO
2031-12-29,17.5,5.2,NEUQUEN AERO
2031-12-29,16.4,2,NUEVE DE JULIO
2031-12-29,15,4,OBERA
2031-12-29,12,-2.1,OLAVARRIA AERO
2031-12-29,21.9,6.5,ORAN AERO
2031-12-29,17.1,2,PARANA AERO
2031-12-29,16,-1.3,PASO DE INDIOS
2031-12-29,15.9,4,PASO DE LOS LIBRES AERO
